#,Date,Rank,Actor,N-Match, N-Rating,N-Bad,H-Match,H-Rating,H-Bad,K-Match,K-Rating,K-Bad,Moves,Players,NAGA Report,Paifu,,Last 10 ,Last 10 ,Last 10 ,Last 20,Last 20,Last 20,Last 50,Last 50,Last 50,Last 100,Last 100,Last 100,Last 200,Last 200,Last 200,,,,,,,,,,,,,
0,4/18,4,0,75.472,88.848,9.434,,,,,,,53,poona93(+42.2)クマッチ(+5.0)あきまゆともとし(-15.3)ⓝLuckyJ(-31.9),https://naga.dmv.nico/htmls/015161fe9d8a51ffa77fa23d6cda0ad43998f09e33b0b003d8a1bd24b31d17a6v2_0.html?tw=0,https://tenhou.net/4/?log=2023041911gm-0001-0000-cba4cded&tw=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4/18,2,3,75.000,84.888,10.714,73.214,85.878,8.036,75.000,84.547,10.714,112,心(+54.5)ⓝLuckyJ(+11.3)こうえい(-19.3)牌操作万歳！(-46.5),https://naga.dmv.nico/htmls/7a24d4ddd9e0d60021075e67ea674c272ebb290b066374752b1fc1d2d3018ffev2_2.html?tw=3,https://tenhou.net/4/?log=2023041911gm-0009-0000-24ce7cb7&tw=3,,,,,,,,,,,,,,,,,Log Avail.,Total Hanchan,,,,,,,,,,,
2,4/18,3,3,69.298,80.863,9.649,64.035,80.603,9.649,64.912,74.806,19.298,114,あれれれれ?(+50.2)NoName(+3.6)ⓝLuckyJ(-19.4)ライオン丸☆彡(-34.4),https://naga.dmv.nico/htmls/ae812c7aa02889f68a6067c6f9db876cfd1caea3de96f364cc1298e3ab02b2cdv2_2.html?tw=3,https://tenhou.net/4/?log=2023041911gm-0009-0000-76965bea&tw=3,,,,,,,,,,,,,,,,,1255,1320,,,,,,,,,,,
3,4/18,2,3,68.421,80.263,13.158,67.544,83.044,10.526,65.789,78.029,13.158,114,NoName(+62.7)ⓝLuckyJ(-0.2)ぴーちくぱーちく(-24.8)マシュー(-37.7),https://naga.dmv.nico/htmls/d00179e866f4a3b86b475eaf72875dd225c121fc3c2af000d74632b57231c1a4v2_2.html?tw=3,https://tenhou.net/4/?log=2023041912gm-0009-0000-2fb1c136&tw=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4/18,2,3,72.321,84.277,11.607,74.107,84.437,6.250,73.214,83.268,9.821,112,taka432&(+45.0)ⓝLuckyJ(+10.4)rhythm.0(-20.5)おおなり(-34.9),https://naga.dmv.nico/htmls/b65c8454fc73f6b1da051826ec9113dcc755b99ee5bc96f4f5d9e290733aa912v2_2.html?tw=3,https://tenhou.net/4/?log=2023041912gm-0009-0000-9d2b9dfb&tw=3,,,,,,,,,,,,,,,,,Rank,,#,,N-Match,N-Rating,N-Bad,H-Match,H-Rating,H-Bad,K-Match,K-Rating,K-Bad
5,4/19,3,2,78.788,89.566,7.576,80.303,91.092,7.576,81.818,91.098,7.576,66,pacodel(+66.5)unagi22(+8.5)ⓝLuckyJ(-19.2)Kevin.K(-55.8),https://naga.dmv.nico/htmls/0b273323e2067d89af605eaa789e7ba65a355f2617fc658c3a7031a7638ffb9ev2_2.html?tw=2,https://tenhou.net/4/?log=2023041913gm-0009-0000-481bbd92&tw=2,,,,,,,,,,,,,,,,,1,31.14%,411,,74.096,85.822,8.079,73.008,86.182,7.179,72.453,84.610,9.357
6,4/19,1,1,88.608,93.363,6.329,82.278,89.698,3.797,86.076,91.756,5.063,79,ⓝLuckyJ(+63.6)NoName(+9.6)小さな愛は(-14.5)タケとシルバ(-58.7),https://naga.dmv.nico/htmls/13fc5d471b8821ec227703a14aa9b12d2aca8eb5fe3076624fd959a3ac3fc7b0v2_2.html?tw=1,https://tenhou.net/4/?log=2023041913gm-0009-0000-95da9e3b&tw=1,,,,,,,,,,,,,,,,,2,27.35%,361,,73.495,85.286,8.247,72.770,85.991,7.326,71.996,83.994,9.506
7,4/19,3,1,75.735,85.225,8.824,69.853,83.392,10.294,75.735,84.392,10.294,136,九蓮宝燈やりたい(+52.0)JPNOGAWA(+19.4)ⓝLuckyJ(-18.9)kaboom(-52.5),https://naga.dmv.nico/htmls/9b3ecbfc6986ebe6fc3e585013ae0b5a5d3390e71bab778480b3cbe042019506v2_2.html?tw=1,https://tenhou.net/4/?log=2023041914gm-0009-0000-02f8c9e2&tw=1,,,,,,,,,,,,,,,,,3,25.30%,334,,74.073,85.648,7.953,73.175,86.074,7.207,72.380,84.380,9.176
8,4/19,3,0,68.478,81.763,4.348,71.739,86.531,3.261,69.565,82.890,9.783,92,sannpuru(+56.0)GGB(+19.5)ⓝLuckyJ(-26.2)ichik(-49.3),https://naga.dmv.nico/htmls/91789d99d86ef1f4ba0a0ec23841833799d72072b031e8503687673b4df2d037v2_2.html?tw=0,https://tenhou.net/4/?log=2023041914gm-0009-0000-f04c7ced&tw=0,,,,,,,,,,,,,,,,,4,16.21%,214,,74.558,85.808,8.106,73.632,86.167,7.062,72.888,84.558,9.230
9,4/19,1,0,68.041,83.895,11.340,73.196,86.319,6.186,65.979,80.650,11.340,97,ⓝLuckyJ(+51.2)コムギ丸(+7.1)クsoge-クン(-18.0)rensou(-40.3),https://naga.dmv.nico/htmls/a08608701506356f3c0dee3f3e1c4f130ef102925a9b27f12b5a288077a03106v2_2.html?tw=0,https://tenhou.net/4/?log=2023041914gm-0009-0000-905aedb2&tw=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4/19,2,0,69.231,85.135,8.547,67.521,82.602,10.256,70.940,82.735,8.547,117,タケとシルバ(+41.9)ⓝLuckyJ(+6.9)あぱぱぱ(-18.5)ポチこん(-30.3),https://naga.dmv.nico/htmls/ae5cfcb0dc30450732306bc696644a22ebdef7e6e68e62073ea3016f9963621av2_2.html?tw=0,https://tenhou.net/4/?log=2023041915gm-0009-0000-d2489ac6&tw=0,,73.39,84.92,9.21,,,,,,,,,,,,,Player,ⓝLuckyJ,,,-first tonpuu game excluded from stats,,,,,,,,
11,4/19,2,2,61.739,80.877,11.304,51.304,79.342,13.043,55.652,74.919,14.783,115,ayappe(+45.9)ⓝLuckyJ(+11.7)トルコ桔梗(-19.4)NoName(-38.2),https://naga.dmv.nico/htmls/6b5e8ff0c6d86538bad357fc6b212303578afef437b080945b07aecbea734c83v2_2.html?tw=2,https://tenhou.net/4/?log=2023041915gm-0009-0000-72f6b798&tw=2,,72.07,84.52,9.27,,,,,,,,,,,,,Avg Rank ,2.266,,,https://nodocchi.moe/tenhoulog/index.html#!&name=%E2%93%9DLuckyJ,,,,,,,,
12,4/19,1,1,78.750,89.585,6.250,81.250,90.853,2.500,81.250,87.524,8.750,80,ⓝLuckyJ(+73.7)NoName(-0.8)N0name(-21.2)よこやま(-51.7),https://naga.dmv.nico/htmls/82fc7e40253c3a445280ed5ca3da14b8bb85ad110826f192505a54be6b6ec3c0v2_2.html?tw=1,https://tenhou.net/4/?log=2023041916gm-0009-0000-2147738b&tw=1,,73.01,85.40,8.93,,,,,,,,,,,,,Games,1320,,,,,,,,,,,
13,4/19,2,3,73.333,86.715,6.667,72.000,87.176,7.333,73.333,84.980,7.333,150,EN2023(+48.5)ⓝLuckyJ(+10.5)yuki2965(-20.4)はなさかじいさん(-38.6),https://naga.dmv.nico/htmls/9ce8429f01389974e550dc5402e45d1f8c231b761c775d8399264a7cc00e8082v2_2.html?tw=3,https://tenhou.net/4/?log=2023041916gm-0009-0000-3551c4d5&tw=3,,73.50,86.04,8.28,,,,,,,,,,,,,Progress,1255,,,Lowest,Highest,,Month,2023-5,2023-4,,,
14,4/19,3,0,70.796,83.770,10.619,73.451,84.538,7.080,74.336,86.249,7.965,113,宝くじ７(+75.7)麻雀脳(+0.1)ⓝLuckyJ(-25.4)北村方向(-50.4),https://naga.dmv.nico/htmls/fb57745407c9d72db76a664e53dafccff0d22a1b2110b3617e98e924ac44869av2_2.html?tw=0,https://tenhou.net/4/?log=2023041917gm-0009-0000-258c559e&tw=0,,73.35,85.99,8.18,,,,,,,,,,,,,Avg N-Match ,74.002,,,52.000,97.500,,N-Rating,85.722,85.401,,,
15,4/19,1,1,81.356,87.305,5.085,77.966,87.013,6.780,72.881,86.026,8.475,59,ⓝLuckyJ(+47.7)ウエスタンT.C(+15.2)－えむわい－(-12.1)MOMONT(-50.8),https://naga.dmv.nico/htmls/0c82f956dd28beec439d61b25acfcaa56d2e65515bbd9d5fa6a17242f0962461v2_2.html?tw=1,https://tenhou.net/4/?log=2023041918gm-0009-0000-63986359&tw=1,,73.61,85.76,7.93,,,,,,,,,,,,,Avg N-Rating,85.630,,,72.414,99.535,,N-Bad %,8.051,8.208,,,
16,4/19,2,3,68.254,86.678,7.143,69.841,85.892,11.111,62.698,83.671,7.937,126,コントレイル常(+41.9)ⓝLuckyJ(+10.7)NoName(-20.7)yama79(-31.9),https://naga.dmv.nico/htmls/4de88a2f7ec4fcc76ecf9f93e8a0a7f63245a676646e9f73dbb40241b9cd7d87v2_2.html?tw=3,https://tenhou.net/4/?log=2023041918gm-0009-0000-99286749&tw=3,,71.57,85.09,8.01,,,,,,,,,,,,,Avg N-Bad,8.098,,,0.000,21.429,,Games,935,385,,,
